Year,Population,"Yearly %
Change","Yearly
Change",Migrants (net),Median Age,Fertility Rate,Density (P/KmÂ²),"Urban
Pop %",Urban Population,"Country's Share of
World Pop",World Population,"
Global Rank"
2020.0,1439323776.0,0.39 %,5540090.0,-348399.0,38.4,1.69,153.0,60.8 %,875075919.0,18.47 %,7794798739.0,1.0
2019.0,1433783686.0,0.43 %,6135900.0,-348399.0,37.0,1.65,153.0,59.7 %,856409297.0,18.59 %,7713468100.0,1.0
2018.0,1427647786.0,0.47 %,6625995.0,-348399.0,37.0,1.65,152.0,58.6 %,837022095.0,18.71 %,7631091040.0,1.0
2017.0,1421021791.0,0.49 %,6972440.0,-348399.0,37.0,1.65,151.0,57.5 %,816957613.0,18.83 %,7547858925.0,1.0
2016.0,1414049351.0,0.51 %,7201481.0,-348399.0,37.0,1.65,151.0,56.3 %,796289491.0,18.94 %,7464022049.0,1.0
2015.0,1406847870.0,0.55 %,7607451.0,-310442.0,36.7,1.64,150.0,55.1 %,775352918.0,19.06 %,7379797139.0,1.0
2010.0,1368810615.0,0.57 %,7606847.0,-435677.0,35.0,1.62,146.0,48.9 %,669353557.0,19.68 %,6956823603.0,1.0
2005.0,1330776380.0,0.62 %,8045123.0,-393116.0,32.6,1.61,142.0,42.2 %,561983323.0,20.34 %,6541907027.0,1.0
2000.0,1290550765.0,0.79 %,9926046.0,-76600.0,30.0,1.62,137.0,35.7 %,460377048.0,21.01 %,6143493823.0,1.0
1995.0,1240920535.0,1.07 %,12807372.0,-155996.0,27.4,1.83,132.0,30.9 %,383901711.0,21.60 %,5744212979.0,1.0
1990.0,1176883674.0,1.82 %,20258863.0,-86330.0,24.9,2.73,125.0,26.3 %,310022147.0,22.09 %,5327231061.0,1.0
1985.0,1075589361.0,1.47 %,15100025.0,-40000.0,23.5,2.52,115.0,22.8 %,244946241.0,22.08 %,4870921740.0,1.0
1980.0,1000089235.0,1.55 %,14769670.0,-9401.0,21.9,3.01,107.0,19.2 %,192392094.0,22.43 %,4458003514.0,1.0
1975.0,926240885.0,2.28 %,19727898.0,-221096.0,20.3,4.85,99.0,17.3 %,160244444.0,22.70 %,4079480606.0,1.0
1970.0,827601394.0,2.70 %,20676485.0,-32000.0,19.3,6.3,88.0,17.3 %,143513192.0,22.36 %,3700437046.0,1.0
1965.0,724218968.0,1.86 %,12762182.0,-225145.0,19.8,6.15,77.0,18.0 %,130684595.0,21.69 %,3339583597.0,1.0
1960.0,660408056.0,1.53 %,9633300.0,-11900.0,21.3,5.48,70.0,16.1 %,106561743.0,21.76 %,3034949748.0,1.0
1955.0,612241554.0,2.00 %,11564456.0,-51205.0,22.2,6.11,65.0,13.8 %,84639825.0,22.08 %,2773019936.0,1.0
